Input file,Event Number,Species Code,Call,Start time,End time,Median Peak Frequency (kHz),Median ICI (ms),Median Duration (us),Median Center Frequency (kHz),Click Count,Comments
Antarc01EI,jst_bw001,BW37,Clicks,3/8/2014 16:41:28,3/8/2014 16:47:41,,,,,,
Antarc01EI,jst_bw002,BW29,Clicks,3/9/2014 12:57:19,3/9/2014 13:09:47,,,,,,
Antarc01EI,jst_bw003,BW37,Clicks,3/9/2014 15:19:05,3/9/2014 15:38:59,,,,,,
Antarc01EI,jst_bw004,BW37,Clicks,3/10/2014 4:57:07,3/10/2014 4:58:22,,,,,,
Antarc01EI,jst_bw005,BW37,Clicks,3/12/2014 21:00:05,3/12/2014 21:01:20,,,,,,
Antarc01EI,jst_bw006,BW29,Clicks,3/14/2014 13:04:34,3/14/2014 13:05:49,,,,,,
Antarc01EI,jst_bw007,BW29,Clicks,3/14/2014 13:07:04,3/14/2014 13:09:32,,,,,,
Antarc01EI,jst_bw008,BW29,Clicks,3/15/2014 7:50:57,3/15/2014 7:54:40,,,,,,
Antarc01EI,jst_bw009,BW29,Clicks,3/15/2014 7:55:55,3/15/2014 8:02:08,,,,,,
Antarc01EI,jst_bw010,BW37,Clicks,3/17/2014 8:56:16,3/17/2014 8:57:31,,,,,,
Antarc01EI,jst_bw011,BW37,Clicks,3/19/2014 2:12:58,3/19/2014 2:14:13,,,,,,
Antarc01EI,jst_bw012,BW37,Clicks,3/19/2014 2:15:26,3/19/2014 2:16:41,,,,,,
Antarc01EI,jst_bw013,BW58,Clicks,3/19/2014 6:48:58,3/19/2014 6:53:58,,,,,,
Antarc01EI,jst_bw014,BW58,Clicks,3/19/2014 6:55:11,3/19/2014 6:56:26,,,,,,
Antarc01EI,jst_bw015,BW58,Clicks,3/19/2014 7:00:09,3/19/2014 7:01:24,,,,,,
Antarc01EI,jst_bw016,BW37,Clicks,3/19/2014 10:47:42,3/19/2014 10:48:57,,,,,,
Antarc01EI,jst_bw017,BW37,Clicks,3/19/2014 10:53:55,3/19/2014 10:55:10,,,,,,
Antarc01EI,jst_bw018,BW37,Clicks,3/19/2014 16:56:57,3/19/2014 16:58:12,,,,,,
Antarc01EI,jst_bw019,BW37,Clicks,3/21/2014 6:02:31,3/21/2014 6:03:46,,,,,,
Antarc01EI,jst_bw020,BW37,Clicks,3/21/2014 6:05:01,3/21/2014 6:06:16,,,,,,
Antarc01EI,jst_bw021,BW37,Clicks,3/22/2014 23:37:54,3/22/2014 23:41:39,,,,,,
Antarc01EI,jst_bw022,BW37,Clicks,3/22/2014 23:42:52,3/22/2014 23:44:07,,,,,,
byteswapped,Abartlett,Oo,Clicks,3/24/2014 19:56:38,3/24/2014 20:11:56,,,,,,
byteswapped,Abartlett,Oo,Clicks,3/24/2014 20:41:15,3/24/2014 20:46:16,,,,,,
byteswapped,Abartlett,Oo,Clicks,3/24/2014 21:09:26,3/24/2014 21:20:34,,,,,,
byteswapped,Abartlett,Oo,Clicks,3/24/2014 21:48:23,3/24/2014 21:48:26,,,,,,
Antarc01EI,jst_bw023,BW29,Clicks,3/25/2014 23:17:20,3/25/2014 23:18:35,,,,,,
Antarc01EI,jst_bw024,BW29,Clicks,3/25/2014 23:21:05,3/25/2014 23:22:20,,,,,,
Antarc01EI,jst_bw025,BW29,Clicks,3/25/2014 23:23:33,3/25/2014 23:31:01,,,,,,
Antarc01EI,jst_bw026,BW29,Clicks,3/27/2014 1:30:09,3/27/2014 1:31:24,,,,,,
Antarc01EI,jst_bw027,BW37,Clicks,3/29/2014 17:44:29,3/29/2014 17:46:59,,,,,,
Antarc01EI,jst_bw028,BW29,Clicks,3/29/2014 19:40:08,3/29/2014 19:43:51,,,,,,
Antarc01EI,jst_bw029,BW29,Clicks,3/29/2014 19:48:49,3/29/2014 20:03:45,,,,,,
Antarc01EI,jst_bw030,BW29,Clicks,3/30/2014 1:29:31,3/30/2014 1:30:46,,,,,,
Antarc01EI,jst_bw031,BW29,Clicks,4/3/2014 16:15:08,4/3/2014 16:16:23,,,,,,
byteswapped,Abartlett,Oo,HFM,4/4/2014 19:13:00,4/4/2014 19:22:00,,,,,,
Antarc01EI,jst_bw032,BW29,Clicks,4/8/2014 15:49:10,4/8/2014 15:50:25,,,,,,
Antarc01EI,jst_bw033,BW29,Clicks,4/8/2014 15:52:53,4/8/2014 15:54:08,,,,,,
Antarc01EI,jst_bw034,BW29,Clicks,4/10/2014 4:43:31,4/10/2014 4:44:46,,,,,,
Antarc01EI,jst_bw035,BW29,Clicks,4/10/2014 4:46:01,4/10/2014 4:58:27,,,,,,
Antarc01EI,jst_bw036,BW29,Clicks,4/10/2014 4:59:42,4/10/2014 5:00:57,,,,,,
Antarc01EI,jst_bw037,BW29,Clicks,4/10/2014 5:03:25,4/10/2014 5:04:40,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,4/13/2014 9:56:32,4/13/2014 9:56:32,,,,,,
byteswapped,Msaddler,Gm,Clicks,4/15/2014 7:47:14,4/15/2014 7:47:25,42.58,59.26,270.00,50.73,22,
byteswapped,Msaddler,Gm,Clicks,4/15/2014 8:20:16,4/15/2014 8:21:36,37.11,47.79,320.00,44.23,129,
byteswapped,Msaddler,Gm,Clicks,4/17/2014 8:35:52,4/17/2014 8:40:56,37.89,52.41,196.00,46.98,582,
Antarc01EI,jst_bw038,BW29,Clicks,4/19/2014 4:26:37,4/19/2014 4:37:50,,,,,,
Antarc01EI,jst_bw039,BW29,Clicks,4/19/2014 4:39:03,4/19/2014 4:41:33,,,,,,
Antarc01EI,jst_bw040,BW37,Clicks,4/19/2014 5:02:42,4/19/2014 5:05:10,,,,,,
Antarc01EI,jst_bw041,BW29,Clicks,4/19/2014 7:09:30,4/19/2014 7:10:45,,,,,,
Antarc01EI,jst_bw042,BW29,Clicks,4/19/2014 14:06:01,4/19/2014 14:07:16,,,,,,
Antarc01EI,jst_bw043,BW29,Clicks,4/19/2014 14:17:12,4/19/2014 14:18:27,,,,,,
Antarc01EI,jst_bw044,BW29,Clicks,4/19/2014 14:19:42,4/19/2014 14:20:57,,,,,,
Antarc01EI,jst_bw045,BW29,Clicks,4/19/2014 17:54:47,4/19/2014 17:56:02,,,,,,
Antarc01EI,jst_bw046,BW29,Clicks,4/19/2014 18:02:15,4/19/2014 18:03:30,,,,,,
Antarc01EI,jst_bw047,BW29,Clicks,4/19/2014 18:06:00,4/19/2014 18:07:15,,,,,,
Antarc01EI,jst_bw048,BW29,Clicks,4/19/2014 18:10:58,4/19/2014 18:12:13,,,,,,
Antarc01EI,jst_bw049,BW29,Clicks,4/20/2014 0:02:49,4/20/2014 0:07:49,,,,,,
Antarc01EI,jst_bw050,BW29,Clicks,4/20/2014 1:38:34,4/20/2014 1:42:17,,,,,,
Antarc01EI,jst_bw051,BW29,Clicks,4/20/2014 2:12:07,4/20/2014 2:13:22,,,,,,
Antarc01EI,jst_bw052,BW29,Clicks,4/20/2014 2:14:37,4/20/2014 2:15:52,,,,,,
Antarc01EI,jst_bw053,BW29,Clicks,4/20/2014 2:55:38,4/20/2014 2:56:53,,,,,,
byteswapped,Msaddler,Gm,Clicks,4/20/2014 9:31:28,4/20/2014 9:31:33,37.11,66.69,350.00,41.37,9,
Antarc01EI,jst_bw054,BW29,Clicks,4/20/2014 14:33:09,4/20/2014 14:34:24,,,,,,
Antarc01EI,jst_bw055,BW29,Clicks,4/20/2014 14:45:35,4/20/2014 14:48:05,,,,,,
Antarc01EI,jst_bw056,BW29,Clicks,4/20/2014 14:49:20,4/20/2014 14:50:35,,,,,,
Antarc01EI,jst_bw057,BW29,Clicks,4/20/2014 14:51:48,4/20/2014 14:53:03,,,,,,
Antarc01EI,jst_bw058,BW29,Clicks,4/20/2014 22:50:29,4/20/2014 22:51:44,,,,,,
Antarc01EI,jst_bw059,BW29,Clicks,4/20/2014 22:55:27,4/20/2014 22:59:12,,,,,,
Antarc01EI,jst_bw060,BW29,Clicks,4/20/2014 23:01:40,4/20/2014 23:02:55,,,,,,
Antarc01EI,jst_bw061,BW29,Clicks,4/21/2014 1:06:00,4/21/2014 1:13:28,,,,,,
Antarc01EI,jst_bw062,BW29,Clicks,4/21/2014 1:17:13,4/21/2014 1:19:41,,,,,,
Antarc01EI,jst_bw063,BW29,Clicks,4/21/2014 19:58:41,4/21/2014 19:59:56,,,,,,
Antarc01EI,jst_bw064,BW29,Clicks,4/21/2014 22:26:38,4/21/2014 22:27:53,,,,,,
Antarc01EI,jst_bw065,BW29,Clicks,4/21/2014 22:58:58,4/21/2014 23:00:13,,,,,,
Antarc01EI,jst_bw066,BW29,Clicks,4/21/2014 23:02:43,4/21/2014 23:05:11,,,,,,
Antarc01EI,jst_bw067,BW29,Clicks,4/21/2014 23:07:41,4/21/2014 23:12:39,,,,,,
Antarc01EI,jst_bw068,BW29,Clicks,4/22/2014 0:52:07,4/22/2014 0:54:37,,,,,,
Antarc01EI,jst_bw069,BW29,Clicks,4/22/2014 0:55:50,4/22/2014 0:58:20,,,,,,
Antarc01EI,jst_bw070,BW29,Clicks,4/22/2014 1:00:50,4/22/2014 1:03:18,,,,,,
Antarc01EI,jst_bw071,BW29,Clicks,4/22/2014 1:04:33,4/22/2014 1:07:03,,,,,,
Antarc01EI,jst_bw072,BW29,Clicks,4/22/2014 5:53:01,4/22/2014 5:54:16,,,,,,
Antarc01EI,jst_bw073,BW29,Clicks,4/22/2014 6:06:40,4/22/2014 6:14:08,,,,,,
Antarc01EI,jst_bw074,BW29,Clicks,4/22/2014 6:15:23,4/22/2014 6:16:38,,,,,,
Antarc01EI,jst_bw075,BW29,Clicks,4/22/2014 6:17:53,4/22/2014 6:21:36,,,,,,
Antarc01EI,jst_bw076,BW29,Clicks,4/22/2014 6:25:19,4/22/2014 6:26:34,,,,,,
Antarc01EI,jst_bw077,BW29,Clicks,4/22/2014 6:32:47,4/22/2014 6:50:13,,,,,,
Antarc01EI,jst_bw078,BW29,Clicks,4/22/2014 7:02:37,4/22/2014 7:03:52,,,,,,
Antarc01EI,jst_bw079,BW29,Clicks,4/22/2014 7:05:07,4/22/2014 7:06:22,,,,,,
Antarc01EI,jst_bw080,BW29,Clicks,4/22/2014 7:07:37,4/22/2014 7:13:50,,,,,,
Antarc01EI,jst_bw081,BW29,Clicks,4/22/2014 7:15:03,4/22/2014 7:17:33,,,,,,
Antarc01EI,jst_bw082,BW29,Clicks,4/22/2014 7:20:03,4/22/2014 7:22:31,,,,,,
Antarc01EI,jst_bw083,BW29,Clicks,4/22/2014 7:33:42,4/22/2014 7:36:12,,,,,,
Antarc01EI,jst_bw084,BW29,Clicks,4/22/2014 7:46:08,4/22/2014 7:47:23,,,,,,
Antarc01EI,jst_bw085,BW29,Clicks,4/22/2014 7:58:34,4/22/2014 7:59:49,,,,,,
Antarc01EI,jst_bw086,BW29,Clicks,4/23/2014 2:30:08,4/23/2014 2:45:02,,,,,,
Antarc01EI,jst_bw087,BW29,Clicks,4/23/2014 4:33:13,4/23/2014 4:34:28,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,4/23/2014 5:58:57,4/23/2014 6:06:05,,,,,,
Antarc01EI,jst_bw088,BW29,Clicks,4/23/2014 6:02:43,4/23/2014 6:03:58,,,,,,
Antarc01EI,jst_bw089,BW29,Clicks,4/23/2014 6:05:13,4/23/2014 6:07:43,,,,,,
Antarc01EI,jst_bw090,BW29,Clicks,4/23/2014 6:08:56,4/23/2014 6:11:26,,,,,,
Antarc01EI,jst_bw091,BW29,Clicks,4/23/2014 6:51:14,4/23/2014 6:52:29,,,,,,
Antarc01EI,jst_bw092,BW29,Clicks,4/23/2014 6:57:27,4/23/2014 6:59:55,,,,,,
Antarc01EI,jst_bw093,BW29,Clicks,4/23/2014 9:12:58,4/23/2014 9:16:41,,,,,,
Antarc01EI,jst_bw094,BW29,Clicks,4/23/2014 9:17:56,4/23/2014 9:19:11,,,,,,
Antarc01EI,jst_bw095,BW29,Clicks,4/23/2014 9:20:26,4/23/2014 9:24:09,,,,,,
Antarc01EI,jst_bw096,BW29,Clicks,4/23/2014 9:25:24,4/23/2014 9:46:33,,,,,,
Antarc01EI,jst_bw097,BW29,Clicks,4/23/2014 9:47:46,4/23/2014 9:49:01,,,,,,
Antarc01EI,jst_bw098,BW29,Clicks,4/23/2014 10:30:02,4/23/2014 10:31:17,,,,,,
Antarc01EI,jst_bw099,BW29,Clicks,4/23/2014 10:35:02,4/23/2014 10:36:17,,,,,,
Antarc01EI,jst_bw100,BW29,Clicks,4/23/2014 10:40:00,4/23/2014 10:44:58,,,,,,
Antarc01EI,jst_bw101,BW29,Clicks,4/23/2014 10:46:13,4/23/2014 11:17:18,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,4/23/2014 11:17:31,4/23/2014 11:40:47,,,,,,
Antarc01EI,jst_bw102,BW29,Clicks,4/23/2014 12:07:02,4/23/2014 12:08:17,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,4/23/2014 12:08:36,4/23/2014 12:15:01,,,,,,
Antarc01EI,jst_bw103,BW29,Clicks,4/23/2014 12:15:43,4/23/2014 12:16:58,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,4/23/2014 15:16:57,4/23/2014 15:46:47,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,4/23/2014 16:11:00,4/23/2014 16:25:37,,,,,,
Antarc01EI,jst_bw104,BW29,Clicks,4/23/2014 21:45:10,4/23/2014 21:46:25,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,4/23/2014 23:50:16,4/24/2014 0:01:29,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,4/24/2014 1:26:01,4/24/2014 1:26:21,,,,,,
Antarc01EI,jst_bw105,BW29,Clicks,4/24/2014 1:47:37,4/24/2014 1:48:52,,,,,,
Antarc01EI,jst_bw106,BW29,Clicks,4/24/2014 1:50:05,4/24/2014 1:51:20,,,,,,
Antarc01EI,jst_bw107,BW29,Clicks,4/24/2014 1:52:35,4/24/2014 1:53:50,,,,,,
Antarc01EI,jst_bw108,BW29,Clicks,4/24/2014 1:56:18,4/24/2014 2:02:33,,,,,,
Antarc01EI,jst_bw109,BW29,Clicks,4/24/2014 2:32:23,4/24/2014 2:57:15,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,4/24/2014 3:57:58,4/24/2014 3:57:58,,,,,,
Antarc01EI,jst_bw110,BW29,Clicks,4/24/2014 11:20:48,4/24/2014 11:22:03,,,,,,
Antarc01EI,jst_bw111,BW29,Clicks,4/24/2014 11:28:14,4/24/2014 11:29:29,,,,,,
Antarc01EI,jst_bw112,BW29,Clicks,4/24/2014 11:34:27,4/24/2014 11:35:42,,,,,,
Antarc01EI,jst_bw113,BW37,Clicks,4/24/2014 14:09:52,4/24/2014 14:11:07,,,,,,
Antarc01EI,jst_bw114,BW29,Clicks,4/24/2014 15:24:28,4/24/2014 15:25:43,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,4/24/2014 15:27:28,4/24/2014 15:28:04,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,4/24/2014 15:56:22,4/24/2014 16:06:19,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,4/24/2014 16:38:22,4/24/2014 16:46:35,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,4/24/2014 17:24:51,4/24/2014 17:40:33,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,4/24/2014 19:13:10,4/24/2014 19:13:12,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,4/25/2014 3:30:23,4/25/2014 3:38:55,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,4/25/2014 4:00:50,4/25/2014 4:24:22,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,4/25/2014 4:46:56,4/25/2014 5:05:26,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,4/25/2014 5:22:46,4/25/2014 5:49:19,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,4/25/2014 6:07:48,4/25/2014 6:23:46,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,4/25/2014 6:54:27,4/25/2014 8:13:26,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,4/25/2014 8:31:47,4/25/2014 8:53:50,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,4/25/2014 9:17:08,4/25/2014 9:27:27,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,4/26/2014 19:34:43,4/26/2014 20:06:41,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,4/26/2014 20:25:56,4/26/2014 20:56:52,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,4/26/2014 21:12:24,4/26/2014 22:27:21,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,4/26/2014 22:45:12,4/26/2014 23:47:21,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,4/27/2014 20:02:43,4/27/2014 21:01:57,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,4/27/2014 21:20:31,4/27/2014 21:33:19,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,4/27/2014 22:12:42,4/27/2014 22:27:16,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,4/27/2014 22:49:27,4/27/2014 22:56:14,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,4/27/2014 23:19:02,4/27/2014 23:37:58,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,4/27/2014 23:55:42,4/27/2014 23:56:05,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,4/28/2014 0:30:04,4/28/2014 1:02:19,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,4/28/2014 1:18:32,4/28/2014 1:50:19,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,4/28/2014 2:05:58,4/28/2014 3:17:04,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,4/28/2014 3:38:55,4/28/2014 3:56:04,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,4/28/2014 4:16:53,4/28/2014 4:27:22,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,4/28/2014 4:46:20,4/28/2014 4:55:00,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,4/28/2014 5:41:17,4/28/2014 7:03:28,,,,,,
Antarc01EI,jst_bw115,BW29,Clicks,4/28/2014 5:45:27,4/28/2014 5:46:42,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,4/28/2014 7:18:33,4/28/2014 10:05:20,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,4/28/2014 10:36:58,4/28/2014 11:30:34,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,4/28/2014 11:45:46,4/28/2014 13:56:49,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,4/28/2014 14:17:15,4/28/2014 14:26:27,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,4/28/2014 14:48:06,4/28/2014 15:02:42,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,4/28/2014 15:17:55,4/28/2014 15:35:29,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,4/28/2014 15:59:28,4/28/2014 16:08:57,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,4/28/2014 17:16:33,4/28/2014 17:34:00,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,4/28/2014 18:49:49,4/28/2014 21:46:18,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,4/28/2014 22:05:25,4/28/2014 22:24:25,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,4/28/2014 22:40:17,4/28/2014 23:00:08,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,4/28/2014 23:17:21,4/28/2014 23:53:40,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,4/29/2014 0:16:47,4/29/2014 0:16:47,,,,,,
Antarc01EI,jst_bw116,BW29,Clicks,4/29/2014 2:25:04,4/29/2014 2:26:19,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,4/29/2014 2:53:27,4/29/2014 2:53:40,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,4/29/2014 3:19:32,4/29/2014 5:13:10,,,,,,
Antarc01EI,Nposdaljian,Pm,regular-click,4/29/2014 5:28:55,4/29/2014 7:21:58,,,,,,
