Input file,Event Number,Species Code,Call,Start time,End time,Comments
Antarc_SSI_01,Metcheverry,Gm,Clicks,2/12/2015 1:38:20,2/12/2015 1:39:35,
Antarc_SSI_01,Metcheverry,Gm,Clicks,2/12/2015 1:42:05,2/12/2015 1:43:20,
Antarc_SSI_01,jst_bw001,BW37,Clicks,2/12/2015 13:28:45,2/12/2015 13:30:00,
Antarc_SSI_01,jst_bw002,BW37,Clicks,2/12/2015 13:33:20,2/12/2015 13:35:50,
Antarc_SSI_01,jst_bw003,BW37,Clicks,2/15/2015 13:21:15,2/15/2015 13:28:45,
Antarc_SSI_01,jst_bw004,BW29,Clicks,2/20/2015 9:22:30,2/20/2015 9:23:45,
Antarc_SSI_01,jst_bw005,BW29,Clicks,2/21/2015 10:45:00,2/21/2015 10:48:45,
Antarc_SSI_01,jst_bw006,BW29,Clicks,2/21/2015 10:55:50,2/21/2015 10:57:05,
Antarc_SSI_01,jst_bw007,BW29,Clicks,2/21/2015 20:35:25,2/21/2015 20:36:40,
Antarc_SSI_01,jst_bw008,BW29,Clicks,2/22/2015 1:21:15,2/22/2015 1:22:30,
Antarc_SSI_01,jst_bw009,BW29,Clicks,2/25/2015 20:19:35,2/25/2015 20:20:50,
Antarc_SSI_01,jst_bw010,BW29,Clicks,2/25/2015 20:26:40,2/25/2015 20:27:55,
Antarc_SSI_01,jst_bw011,BW29,Clicks,2/25/2015 20:29:10,2/25/2015 20:30:25,
Antarc_SSI_01,jst_bw012,BW37,Clicks,2/26/2015 9:20:00,2/26/2015 9:21:15,
Antarc_SSI_01,jst_bw013,BW29,Clicks,2/27/2015 23:51:40,2/27/2015 23:56:40,
Antarc_SSI_01,jst_bw014,BW29,Clicks,2/28/2015 0:00:00,2/28/2015 0:01:15,
Antarc_SSI_01,jst_bw015,BW29,Clicks,2/28/2015 3:00:50,2/28/2015 3:02:05,
Antarc_SSI_01,jst_bw016,BW37,Clicks,3/1/2015 14:54:35,3/1/2015 14:59:35,
Antarc_SSI_01,jst_bw017,BW29,Clicks,3/4/2015 15:46:40,3/4/2015 15:50:25,
Antarc_SSI_01,jst_bw018,BW29,Clicks,3/7/2015 10:01:15,3/7/2015 10:03:45,
Antarc_SSI_01,jst_bw019,BW29,Clicks,3/7/2015 10:05:00,3/7/2015 10:08:45,
Antarc_SSI_01,jst_bw020,BW29,Clicks,3/7/2015 10:13:20,3/7/2015 10:14:35,
Antarc_SSI_01,jst_bw021,BW37,Clicks,3/10/2015 2:31:40,3/10/2015 2:32:55,
Antarc_SSI_01,jst_bw022,BW37,Clicks,3/10/2015 4:20:50,3/10/2015 4:23:20,
Antarc_SSI_01,jst_bw023,BW37,Clicks,3/10/2015 4:26:40,3/10/2015 4:29:10,
Antarc_SSI_01,Metcheverry,Gm,Clicks,3/16/2015 13:46:40,3/16/2015 13:47:55,
Antarc_SSI_01,jst_bw024,BW29,Clicks,3/20/2015 19:54:10,3/20/2015 19:55:25,
Antarc_SSI_01,jst_bw025,BW29,Clicks,3/23/2015 17:40:50,3/23/2015 17:42:05,
Antarc_SSI_01,jst_bw026,BW37,Clicks,3/30/2015 22:00:00,3/30/2015 22:03:45,
Antarc_SSI_01,jst_bw027,BW29,Clicks,3/31/2015 17:10:25,3/31/2015 17:14:10,
Antarc_SSI_01,jst_bw028,BW29,Clicks,4/7/2015 21:47:55,4/7/2015 21:50:25,
Antarc_SSI_01,jst_bw029,BW29,Clicks,4/7/2015 21:52:55,4/7/2015 21:56:40,
Antarc_SSI_01,jst_bw030,BW29,Clicks,4/7/2015 22:01:15,4/7/2015 22:07:30,
Antarc_SSI_01,jst_bw031,BW29,Clicks,4/7/2015 22:13:20,4/7/2015 22:14:35,
Antarc_SSI_01,jst_bw032,BW29,Clicks,4/8/2015 3:00:50,4/8/2015 3:03:20,
Antarc_SSI_01,jst_bw033,BW37,Clicks,4/8/2015 7:20:00,4/8/2015 7:21:15,
Antarc_SSI_01,jst_bw034,BW37,Clicks,4/8/2015 7:22:30,4/8/2015 7:28:45,
Antarc_SSI_01,jst_bw035,BW29,Clicks,4/9/2015 11:26:15,4/9/2015 11:27:30,
Antarc_SSI_01,Metcheverry,Gm,Clicks,4/9/2015 22:01:15,4/9/2015 22:02:30,
Antarc_SSI_01,Metcheverry,Gm,Clicks,4/11/2015 22:45:00,4/11/2015 22:47:30,
Antarc_SSI_01,jst_bw036,BW37,Clicks,4/12/2015 2:48:45,4/12/2015 2:50:00,
Antarc_SSI_01,jst_bw037,BW37,Clicks,4/12/2015 2:53:20,4/12/2015 2:57:05,
Antarc_SSI_01,jst_bw038,BW29,Clicks,4/13/2015 16:43:45,4/13/2015 16:48:45,
Antarc_SSI_01,Metcheverry,Gm,Clicks,4/14/2015 9:02:05,4/14/2015 9:03:20,
Antarc_SSI_01,Metcheverry,Gm,Clicks,4/14/2015 9:15:25,4/14/2015 9:16:40,
Antarc_SSI_01,jst_bw039,BW29,Clicks,4/15/2015 7:00:50,4/15/2015 7:02:05,
Antarc_SSI_01,jst_bw040,BW37,Clicks,4/18/2015 20:00:00,4/18/2015 20:01:15,
Antarc_SSI_01,jst_bw041,BW29,Clicks,4/18/2015 23:37:05,4/18/2015 23:38:20,
Antarc_SSI_01,jst_bw042,BW29,Clicks,4/18/2015 23:40:50,4/18/2015 23:42:05,
Antarc_SSI_01,jst_bw043,BW29,Clicks,4/20/2015 15:54:10,4/20/2015 15:55:25,
Antarc_SSI_01,jst_bw044,BW29,Clicks,4/26/2015 16:00:00,4/26/2015 16:08:45,
Antarc_SSI_01,jst_bw045,BW29,Clicks,4/26/2015 16:13:20,4/26/2015 16:23:20,
Antarc_SSI_01,jst_bw046,BW29,Clicks,4/26/2015 16:27:55,4/26/2015 16:29:10,
Antarc_SSI_01,jst_bw047,BW29,Clicks,4/28/2015 15:06:40,4/28/2015 15:07:55,
Antarc_SSI_01,jst_bw048,BW37,Clicks,4/30/2015 23:06:40,4/30/2015 23:09:10,
Antarc_SSI_01,Metcheverry,Gm,Clicks,5/5/2015 8:13:20,5/5/2015 8:18:20,
Antarc_SSI_01,Metcheverry,Gm,Clicks,5/5/2015 9:20:00,5/5/2015 9:21:15,
Antarc_SSI_01,Metcheverry,Gm,Clicks,5/7/2015 1:14:10,5/7/2015 1:16:40,
Antarc_SSI_01,Metcheverry,Gm,Clicks,5/7/2015 8:31:40,5/7/2015 8:34:10,
Antarc_SSI_01,Metcheverry,Gm,Clicks,5/9/2015 4:31:40,5/9/2015 4:32:55,
Antarc_SSI_01,Metcheverry,Gm,Clicks,5/9/2015 4:40:00,5/9/2015 4:41:15,
Antarc_SSI_01,Metcheverry,Gm,Clicks,5/9/2015 6:13:20,5/9/2015 6:14:35,
Antarc_SSI_01,Metcheverry,Gm,Clicks,5/9/2015 6:15:50,5/9/2015 6:23:20,
Antarc_SSI_01,Metcheverry,Gm,Clicks,5/9/2015 6:26:40,5/9/2015 6:29:10,
Antarc_SSI_01,jst_bw050,BW37,Clicks,5/9/2015 8:02:30,5/9/2015 8:03:45,
Antarc_SSI_01,Metcheverry,Gm,Clicks,5/9/2015 10:34:10,5/9/2015 10:36:40,
Antarc_SSI_01,Metcheverry,Gm,Clicks,5/9/2015 20:54:35,5/9/2015 20:55:50,
Antarc_SSI_01,jst_bw052,BW37,Clicks,5/10/2015 12:13:20,5/10/2015 12:14:35,
Antarc_SSI_01,Metcheverry,Gm,Clicks,5/11/2015 5:34:35,5/11/2015 5:43:20,
Antarc_SSI_01,Metcheverry,Gm,Clicks,5/11/2015 5:50:25,5/11/2015 5:51:40,
Antarc_SSI_01,jst_bw055,BW37,Clicks,5/11/2015 14:48:45,5/11/2015 14:50:00,
Antarc_SSI_01,jst_bw056,BW37,Clicks,5/11/2015 14:53:20,5/11/2015 14:58:20,
Antarc_SSI_01,jst_bw057,BW29,Clicks,5/11/2015 16:30:25,5/11/2015 16:32:55,
Antarc_SSI_01,jst_bw058,BW37,Clicks,5/11/2015 17:22:30,5/11/2015 17:30:00,
Antarc_SSI_01,jst_bw059,BW37,Clicks,5/12/2015 17:00:50,5/12/2015 17:02:05,
Antarc_SSI_01,Metcheverry,Gm,Clicks,5/14/2015 7:09:10,5/14/2015 7:11:40,
Antarc_SSI_01,Metcheverry,Gm,Clicks,5/15/2015 0:32:55,5/15/2015 0:34:10,
Antarc_SSI_01,Metcheverry,Gm,Clicks,5/15/2015 3:10:25,5/15/2015 3:12:55,
Antarc_SSI_01,Metcheverry,Gm,Clicks,5/15/2015 3:14:10,5/15/2015 3:16:40,
Antarc_SSI_01,jst_bw060,BW29,Clicks,5/17/2015 0:53:20,5/17/2015 0:54:35,
Antarc_SSI_01,Metcheverry,Gm,Clicks,5/17/2015 2:31:40,5/17/2015 2:36:40,
Antarc_SSI_01,jst_bw061,BW29,Clicks,5/17/2015 3:40:50,5/17/2015 3:43:20,
Antarc_SSI_01,jst_bw062,BW29,Clicks,5/17/2015 3:46:40,5/17/2015 3:51:40,
Antarc_SSI_01,Metcheverry,Gm,Clicks,5/17/2015 6:53:20,5/17/2015 6:54:35,
Antarc_SSI_01,Metcheverry,Gm,Clicks,5/17/2015 6:57:05,5/17/2015 7:03:20,
Antarc_SSI_01,Metcheverry,Gm,Clicks,5/17/2015 7:06:40,5/17/2015 7:09:10,
Antarc_SSI_01,Metcheverry,Gm,Clicks,5/17/2015 7:20:00,5/17/2015 7:23:45,
Antarc_SSI_01,Metcheverry,Gm,Clicks,5/17/2015 8:26:40,5/17/2015 8:27:55,
Antarc_SSI_01,Metcheverry,Gm,Clicks,5/17/2015 8:29:10,5/17/2015 8:31:40,
Antarc_SSI_01,Metcheverry,Gm,Clicks,5/18/2015 1:10:25,5/18/2015 1:16:40,
Antarc_SSI_01,Metcheverry,Gm,Clicks,5/18/2015 1:20:00,5/18/2015 1:23:45,
Antarc_SSI_01,Metcheverry,Gm,Clicks,5/18/2015 7:20:00,5/18/2015 7:21:15,
Antarc_SSI_01,Metcheverry,Gm,Clicks,5/18/2015 8:46:15,5/18/2015 8:48:45,
Antarc_SSI_01,Metcheverry,Gm,Clicks,5/18/2015 8:53:20,5/18/2015 8:58:20,
Antarc_SSI_01,jst_bw065,BW37,Clicks,5/20/2015 4:40:00,5/20/2015 4:41:15,
Antarc_SSI_01,jst_bw066,BW37,Clicks,5/20/2015 4:43:45,5/20/2015 4:47:30,
Antarc_SSI_01,Metcheverry,Gm,Clicks,5/21/2015 0:01:15,5/21/2015 0:08:45,
Antarc_SSI_01,Metcheverry,Gm,Clicks,5/21/2015 2:01:15,5/21/2015 2:02:30,
Antarc_SSI_01,Metcheverry,Gm,Clicks,5/21/2015 3:14:10,5/21/2015 3:16:40,
Antarc_SSI_01,jst_bw067,BW29,Clicks,5/21/2015 6:26:40,5/21/2015 6:29:10,
Antarc_SSI_01,jst_bw068,BW37,Clicks,5/21/2015 19:35:50,5/21/2015 19:38:20,
Antarc_SSI_01,Metcheverry,Gm,Clicks,5/24/2015 1:46:40,5/24/2015 1:52:55,
Antarc_SSI_01,Metcheverry,Gm,Clicks,5/24/2015 8:20:50,5/24/2015 8:23:20,
