Day,Pm,BW29,Oo,Gm,BW37,BW58,Site
2/4/2016,1,0,0,0,0,0,CI
2/5/2016,1,0,0,0,0,0,CI
2/6/2016,1,0,0,0,0,0,CI
2/7/2016,1,0,0,0,0,0,CI
2/8/2016,0,0,0,0,0,0,CI
2/9/2016,1,0,0,0,0,0,CI
2/10/2016,1,0,0,0,0,0,CI
2/11/2016,0,0,0,0,0,0,CI
2/12/2016,0,0,0,0,0,0,CI
2/13/2016,1,0,0,0,0,0,CI
2/14/2016,1,0,0,0,0,0,CI
2/15/2016,1,1,1,0,0,0,CI
2/16/2016,1,1,0,0,0,0,CI
2/17/2016,1,0,0,0,0,0,CI
2/18/2016,1,0,0,0,0,0,CI
2/19/2016,0,0,0,0,0,0,CI
2/20/2016,1,0,0,0,0,0,CI
2/21/2016,0,0,0,1,0,0,CI
2/22/2016,0,0,0,0,0,0,CI
2/23/2016,1,0,0,0,0,0,CI
2/24/2016,0,0,0,0,0,0,CI
2/25/2016,1,0,0,0,0,0,CI
2/26/2016,0,1,0,0,0,0,CI
2/27/2016,0,0,0,0,0,0,CI
2/28/2016,1,0,0,0,0,0,CI
2/29/2016,1,0,0,0,0,0,CI
3/1/2016,1,1,0,0,0,0,CI
3/2/2016,1,0,0,0,0,0,CI
3/3/2016,1,1,0,0,1,0,CI
3/4/2016,1,1,0,0,0,0,CI
3/5/2016,1,1,0,1,0,0,CI
3/6/2016,0,1,0,0,0,0,CI
3/7/2016,0,0,0,0,0,0,CI
3/8/2016,0,0,0,0,0,0,CI
3/9/2016,1,0,0,0,0,0,CI
3/10/2016,0,0,0,0,0,0,CI
3/11/2016,1,0,0,0,0,0,CI
3/12/2016,1,0,0,0,1,0,CI
3/13/2016,0,1,0,0,0,0,CI
3/14/2016,1,0,0,0,0,0,CI
3/15/2016,1,0,0,0,0,0,CI
3/16/2016,0,1,0,0,0,0,CI
3/17/2016,1,0,0,0,0,0,CI
3/18/2016,1,0,0,0,0,0,CI
3/19/2016,1,0,0,0,0,0,CI
3/20/2016,1,1,0,0,0,0,CI
3/21/2016,0,1,0,0,0,0,CI
3/22/2016,1,0,0,0,0,0,CI
3/23/2016,1,1,0,0,0,0,CI
3/24/2016,1,1,0,0,0,0,CI
3/25/2016,0,1,0,0,0,0,CI
3/26/2016,1,0,0,0,0,0,CI
3/27/2016,1,0,0,0,0,0,CI
3/28/2016,1,0,0,0,0,0,CI
3/29/2016,1,0,0,0,0,0,CI
3/30/2016,1,1,0,0,0,0,CI
3/31/2016,1,0,0,0,0,0,CI
4/1/2016,1,0,0,0,0,0,CI
4/2/2016,1,1,0,0,0,0,CI
4/3/2016,1,0,0,0,0,0,CI
4/4/2016,1,0,0,0,0,0,CI
4/5/2016,1,0,0,0,0,0,CI
4/6/2016,1,0,0,0,0,0,CI
4/7/2016,1,0,0,0,0,0,CI
4/8/2016,1,0,0,0,1,0,CI
4/9/2016,1,0,0,0,0,0,CI
4/10/2016,1,0,0,0,0,0,CI
4/11/2016,1,0,0,0,0,0,CI
4/12/2016,1,1,0,0,1,0,CI
4/13/2016,1,0,0,0,1,0,CI
4/14/2016,1,0,0,0,1,0,CI
4/15/2016,1,1,0,0,0,0,CI
4/16/2016,1,0,0,0,0,0,CI
4/17/2016,1,0,0,0,0,0,CI
4/18/2016,1,0,0,0,0,0,CI
4/19/2016,1,0,0,0,0,0,CI
4/20/2016,1,0,0,0,0,0,CI
4/21/2016,1,0,0,0,0,0,CI
4/22/2016,1,0,0,0,0,0,CI
4/23/2016,1,0,0,0,0,0,CI
4/24/2016,1,0,0,0,0,0,CI
4/25/2016,1,0,0,0,0,0,CI
4/26/2016,1,0,0,0,0,0,CI
4/27/2016,1,0,0,0,0,0,CI
4/28/2016,1,0,0,0,0,0,CI
4/29/2016,1,0,0,0,0,0,CI
4/30/2016,1,0,0,0,0,0,CI
5/1/2016,1,0,0,0,0,0,CI
5/2/2016,1,0,0,0,0,0,CI
5/3/2016,0,0,0,0,0,0,CI
5/4/2016,1,0,1,0,0,0,CI
5/5/2016,1,0,0,0,0,0,CI
5/6/2016,1,0,1,0,0,0,CI
5/7/2016,1,0,1,0,0,0,CI
5/8/2016,1,0,0,0,0,0,CI
5/9/2016,1,0,0,0,0,0,CI
5/10/2016,1,0,0,0,0,0,CI
5/11/2016,1,0,0,0,0,0,CI
5/12/2016,1,0,0,0,0,0,CI
5/13/2016,0,0,0,0,0,0,CI
5/14/2016,0,0,0,0,0,0,CI
5/15/2016,1,0,0,0,0,0,CI
5/16/2016,1,0,0,0,0,0,CI
5/17/2016,1,0,0,0,0,0,CI
5/18/2016,1,0,0,0,0,0,CI
5/19/2016,1,0,0,0,0,0,CI
5/20/2016,1,0,0,0,0,0,CI
5/21/2016,1,0,0,0,0,0,CI
5/22/2016,1,0,1,0,0,0,CI
5/23/2016,1,0,0,0,0,0,CI
5/24/2016,1,0,0,0,0,0,CI
5/25/2016,1,0,1,0,0,0,CI
5/26/2016,1,0,0,0,0,0,CI
5/27/2016,0,0,0,0,0,0,CI
5/28/2016,0,0,0,0,0,0,CI
5/29/2016,0,0,0,0,0,0,CI
5/30/2016,0,0,0,0,0,0,CI
5/31/2016,1,0,0,0,0,0,CI
6/1/2016,1,0,0,0,0,0,CI
6/2/2016,1,0,0,0,0,0,CI
6/3/2016,0,0,0,0,0,0,CI
6/4/2016,0,0,0,0,0,0,CI
6/5/2016,0,0,0,0,0,0,CI
6/6/2016,0,0,0,0,0,0,CI
6/7/2016,0,0,0,0,0,0,CI
6/8/2016,1,0,0,0,0,0,CI
6/9/2016,1,0,0,0,0,0,CI
6/10/2016,1,0,0,0,0,0,CI
6/11/2016,0,0,0,0,0,0,CI
6/12/2016,1,0,0,0,0,0,CI
6/13/2016,1,0,0,0,0,0,CI
6/14/2016,0,0,0,0,0,0,CI
6/15/2016,1,0,0,0,0,0,CI
6/16/2016,0,0,0,0,0,0,CI
6/17/2016,0,0,0,0,0,0,CI
6/18/2016,0,0,0,0,0,0,CI
6/19/2016,0,0,0,0,0,0,CI
6/20/2016,0,0,0,0,0,0,CI
6/21/2016,1,0,0,0,0,0,CI
6/22/2016,1,0,0,0,0,0,CI
6/23/2016,0,0,0,0,0,0,CI
6/24/2016,0,0,0,0,0,0,CI
6/25/2016,0,0,0,0,0,0,CI
6/26/2016,0,0,0,1,0,0,CI
6/27/2016,1,0,0,0,0,0,CI
6/28/2016,0,0,0,1,0,0,CI
6/29/2016,1,0,0,1,0,0,CI
6/30/2016,0,0,0,0,0,0,CI
7/1/2016,0,0,0,0,0,0,CI
7/2/2016,1,0,0,0,0,0,CI
7/3/2016,1,0,0,0,0,0,CI
7/4/2016,1,0,0,0,0,0,CI
7/5/2016,0,0,0,0,0,0,CI
7/6/2016,0,0,0,1,0,0,CI
7/7/2016,0,0,0,0,0,0,CI
7/8/2016,1,0,0,0,0,0,CI
7/9/2016,1,0,0,0,0,0,CI
7/10/2016,1,0,0,0,0,0,CI
7/11/2016,0,0,0,0,0,0,CI
7/12/2016,1,0,0,0,0,0,CI
7/13/2016,1,0,0,0,0,0,CI
7/14/2016,1,0,0,0,0,0,CI
7/15/2016,1,0,0,0,0,0,CI
7/16/2016,1,0,0,0,0,0,CI
7/17/2016,1,0,1,0,0,0,CI
7/18/2016,1,0,0,1,0,0,CI
7/19/2016,0,0,0,0,0,0,CI
7/20/2016,1,0,0,0,0,0,CI
7/21/2016,1,0,0,1,0,0,CI
7/22/2016,1,0,0,1,0,0,CI
7/23/2016,1,0,0,0,0,0,CI
7/24/2016,1,0,0,0,0,0,CI
7/25/2016,0,0,0,0,0,0,CI
