"name","lon","lat","depth_m"
"Gerlache",-61.4524,-63.7361,800
"CS4",-61.0203,-62.2908,500
"CS5",-60.7641,-62.1766,750
"EI_2014",-55.954,-60.8869,NA
"KG_2015",-57.941917,-61.457817,NA
"CI_2016",-53.483433,-61.251867,NA
"CS6",-60.6446,-62.3195,1000
"Ger2",-61.2667,-63.75,850
"Boyd_NE",-61.9649,-62.9599,1200
"Boyd_NW",-62.1779,-63.0019,1100
"Low",-61.9868,-63.5268,NA
"Hoseason",-61.9476,-63.6796,NA
"F1",-59.517,-63.183,700
"Proposed_CS",-61.0768050017638,-62.1876444031,900
"Proposed_Boyd",-61.9695540569199,-62.8671144206603,950
"Proposed BFS - TBW Flow",-60.0099951576582,-62.9084970249666,1000
"F2",-59.25,-63.1333,750
"F3",-59.3671,-63.2416,900
"CS",-60.7865,-62.4553,NA
