Calendar_Year,Month,sice_conc_mean_month_mean,sice_thick_mean_month_mean,krill_weight
1993,1,0,0,218
1993,2,0,0,282
1993,3,0,0,30
1993,4,2.64E-04,0.001263551,NA
1993,5,0.01469496,0.054311872,NA
1993,6,0.045340269,0.184660295,NA
1993,7,0.054369842,0.203631678,NA
1993,8,0.036032802,0.169802279,NA
1993,9,0.064942827,0.195387975,NA
1993,10,0.035995013,0.071826994,NA
1993,11,3.86E-04,0.00299145,NA
1993,12,0,0,NA
1994,1,0,0,508
1994,2,0,0,NA
1994,3,0,0,195
1994,4,2.97E-04,9.76E-04,6
1994,5,0.05296959,0.122259651,NA
1994,6,0.089889377,0.286395865,NA
1994,7,0.390893693,0.414680092,NA
1994,8,0.555155417,0.451924774,NA
1994,9,0.033580141,0.167728033,NA
1994,10,0.059138318,0.195511252,NA
1994,11,0.123016318,0.10556967,NA
1994,12,0,0,NA
1995,1,0,0,122
1995,2,0,0,143
1995,3,0,0,1797
1995,4,1.68E-05,4.26E-05,NA
1995,5,0.003121881,0.021995888,582
1995,6,0.137533941,0.271355327,NA
1995,7,0.623800876,0.556535785,NA
1995,8,0.664646937,0.656202304,NA
1995,9,0.678392005,0.650478716,NA
1995,10,0.205631758,0.225420622,NA
1995,11,0.011361564,0.028209064,NA
1995,12,0,0,384
1996,1,0,0,120
1996,2,0,0,NA
1996,3,0,0,276
1996,4,1.43E-04,5.93E-04,470
1996,5,0.013063604,0.053243724,918
1996,6,0.102780851,0.249437739,1899
1996,7,0.09364982,0.269985439,63
1996,8,0.0617613,0.24233686,NA
1996,9,0.027152127,0.081446696,NA
1996,10,0.001156545,0.007947734,NA
1996,11,4.79E-05,1.45E-04,NA
1996,12,0,0,4
1997,1,0,0,219
1997,2,0,0,1003
1997,3,0,0,1036
1997,4,4.74E-05,1.19E-04,1710
1997,5,0.001411748,0.009751976,10258
1997,6,0.06578554,0.179305568,1393
1997,7,0.20007861,0.393766914,NA
1997,8,0.345101039,0.443907923,NA
1997,9,0.507428894,0.483963583,NA
1997,10,0.151509243,0.263653054,NA
1997,11,9.41E-04,0.007661629,NA
1997,12,0,0,679
1998,1,0,0,998
1998,2,0,0,221
1998,3,0,0,2026
1998,4,0,0,8297
1998,5,0.006158514,0.041304998,4032
1998,6,0.022189786,0.081666684,1696
1998,7,0.064672116,0.244583908,NA
1998,8,0.276541863,0.35171372,NA
1998,9,0.568391026,0.40653982,NA
1998,10,0.022581451,0.037717842,14
1998,11,5.41E-05,1.53E-04,NA
1998,12,0,0,11
1999,1,0,0,8
1999,2,0,0,1227
1999,3,0,0,3129
1999,4,0,0,2889
1999,5,7.29E-05,1.96E-04,88
1999,6,0.028579705,0.118927028,NA
1999,7,0.054043081,0.217372391,NA
1999,8,0.112612151,0.341198371,82
1999,9,0.308197113,0.395871269,2900
1999,10,0.164358356,0.196266626,254
1999,11,1.91E-07,0,NA
1999,12,0,0,264
2000,1,0,0,279
2000,2,0,0,2107
2000,3,0,0,3787
2000,4,4.79E-05,1.68E-04,8581
2000,5,0.002472789,0.014630631,4607
2000,6,0.018166853,0.106695676,367
2000,7,0.039145003,0.196448343,NA
2000,8,0.097674407,0.30862417,729
2000,9,0.109777177,0.229987063,NA
2000,10,0.052148185,0.098112496,NA
2000,11,2.99E-05,2.23E-04,NA
2000,12,0,0,452
2001,1,0,0,311
2001,2,0,0,1341
2001,3,0,0,1116
2001,4,7.19E-04,0.004377075,5520
2001,5,0.001230462,0.010404186,6999
2001,6,0.104807788,0.267913093,NA
2001,7,0.213239009,0.407682575,NA
2001,8,0.216004882,0.243870168,NA
2001,9,0.01841969,0.079522546,NA
2001,10,2.84E-04,9.20E-04,NA
2001,11,9.22E-06,2.63E-05,NA
2001,12,0,0,NA
2002,1,0,0,57
2002,2,0,0,739
2002,3,0,0,NA
2002,4,3.71E-07,0,346
2002,5,0.047950342,0.158219603,111
2002,6,0.218759441,0.424615255,NA
2002,7,0.292104693,0.410938087,NA
2002,8,0.221984592,0.361145335,NA
2002,9,0.240659407,0.425840021,NA
2002,10,0.029397252,0.172058762,NA
2002,11,7.54E-04,0.003862287,NA
2002,12,0,0,NA
2003,1,0,0,194
2003,2,0,0,80
