Calendar_Year,Month,sice_conc_mean_month_mean,sice_thick_mean_month_mean,krill_weight
1993,1,0,0,NA
1993,2,0,0,190
1993,3,5.41E-06,1.06E-05,2075
1993,4,7.37E-04,0.002813521,100
1993,5,0.02697908,0.04935573,NA
1993,6,0.118491092,0.216306927,NA
1993,7,0.19359175,0.305954423,NA
1993,8,0.096628409,0.250800746,NA
1993,9,0.208536762,0.306834052,NA
1993,10,0.06581928,0.078881861,NA
1993,11,0.001315121,0.008103039,NA
1993,12,0,0,NA
1994,1,0,0,NA
1994,2,0,0,NA
1994,3,3.53E-04,9.54E-04,401
1994,4,0.024238203,0.032658741,15285
1994,5,0.287769963,0.380203211,1961
1994,6,0.338832457,0.552568715,NA
1994,7,0.597413176,0.861599563,NA
1994,8,0.379695665,0.4494127,NA
1994,9,0.062282754,0.223830147,NA
1994,10,0.318394834,0.39693757,NA
1994,11,0.100304711,0.08665063,NA
1994,12,3.44E-04,4.11E-04,NA
1995,1,0,0,813
1995,2,0,0,1626
1995,3,5.75E-06,2.21E-05,1081
1995,4,0.005032787,0.011453717,10269
1995,5,0.054161293,0.081724779,874
1995,6,0.373693606,0.417331837,NA
1995,7,0.845476896,1.280596168,NA
1995,8,0.866839953,1.233492169,NA
1995,9,0.774547063,0.65012341,NA
1995,10,0.141052725,0.155177788,142
1995,11,0.002935531,0.017582713,226
1995,12,0.001093702,0.002128646,43
1996,1,0,0,NA
1996,2,0,0,2064
1996,3,5.41E-05,1.47E-04,3042
1996,4,0.049576635,0.051645696,6181
1996,5,0.148673877,0.189701932,1216
1996,6,0.341565552,0.451389921,NA
1996,7,0.3952527,0.486933718,NA
1996,8,0.126634907,0.327395876,NA
1996,9,0.059844713,0.151048318,NA
1996,10,0.002581939,0.022871169,47
1996,11,2.78E-05,9.22E-05,20
1996,12,0,0,877
1997,1,0,0,909
1997,2,0,0,1437
1997,3,2.51E-06,4.77E-06,2645
1997,4,6.92E-04,0.002224813,3164
1997,5,0.030384436,0.063224051,29
1997,6,0.201070063,0.302428355,NA
1997,7,0.480406945,0.856479636,NA
1997,8,0.465172596,0.554731842,NA
1997,9,0.617095507,0.603692173,NA
1997,10,0.505633114,0.655861429,55
1997,11,0.252473851,0.611962722,6
1997,12,0.058735684,0.196356307,971
1998,1,0.007718143,0.020510284,1162
1998,2,0.003089393,0.020810493,2451
1998,3,3.69E-04,0.001563589,1291
1998,4,8.53E-05,3.91E-04,84
1998,5,0.067252054,0.189759412,NA
1998,6,0.086684087,0.185139569,NA
1998,7,0.170551951,0.286874095,NA
1998,8,0.335315614,0.403871304,NA
1998,9,0.593304251,0.508036766,NA
1998,10,0.024764767,0.0346549,NA
1998,11,8.28E-05,3.45E-04,NA
1998,12,0,0,23
1999,1,0,0,1034
1999,2,0,0,493
1999,3,0,0,3004
1999,4,6.47E-08,0,4455
1999,5,2.99E-04,0.002459865,13
1999,6,0.050013981,0.133569838,NA
1999,7,0.170055226,0.259248633,NA
1999,8,0.268860486,0.376374973,NA
1999,9,0.292014544,0.376888178,NA
1999,10,0.060328554,0.113937367,NA
1999,11,3.47E-05,1.40E-04,35
1999,12,0,0,324
2000,1,0,0,49
2000,2,0,0,2598
2000,3,0,0,1168
2000,4,1.45E-04,6.43E-04,4560
2000,5,0.013563433,0.049291138,2426
2000,6,0.048316787,0.173055967,295
2000,7,0.061382013,0.251610935,NA
2000,8,0.2542538,0.409948237,NA
2000,9,0.290895411,0.336078452,NA
2000,10,0.015905966,0.028878555,NA
2000,11,0.008751178,0.024506737,NA
2000,12,0.002852011,0.006981679,231
2001,1,5.08E-04,0.001308522,578
2001,2,0.00728102,0.007088842,869
2001,3,0.020300416,0.019422175,765
2001,4,0.083314657,0.089247566,570
2001,5,0.043772121,0.052247392,836
2001,6,0.446630745,0.689593025,235
2001,7,0.735053232,1.17418873,NA
2001,8,0.102102317,0.296536372,NA
2001,9,0.040539437,0.14302364,NA
2001,10,2.45E-04,0.001260631,NA
2001,11,7.75E-06,2.87E-05,NA
2001,12,0,0,NA
2002,1,0,0,81
2002,2,0,0,2363
2002,3,4.00E-09,0,1451
2002,4,5.19E-05,1.37E-04,122
2002,5,0.075254077,0.179882928,NA
2002,6,0.444752208,0.614442764,NA
2002,7,0.38267678,0.510084485,NA
2002,8,0.264074865,0.494586838,NA
2002,9,0.058277545,0.182359709,NA
2002,10,0.148674103,0.365614226,NA
2002,11,0.017927826,0.064670835,NA
2002,12,0.014588783,0.042623098,NA
2003,1,6.89E-05,2.56E-04,5
2003,2,0,0,894
2003,3,2.66E-08,0,11
2003,4,0.001312828,0.008549586,74
2003,5,0.029115062,0.100847644,NA
2003,6,0.407764347,0.65414358,NA
2003,7,0.470093425,0.617746135,NA
2003,8,0.072197799,0.181997031,NA
2003,9,0.048756205,0.159098511,NA
2003,10,0.004534253,0.038184362,NA
2003,11,0.001373693,0.001839065,NA
2003,12,0.091966381,0.167000834,15
2004,1,0.053365412,0.122528369,8
2004,2,0,0,32
2004,3,6.50E-05,2.45E-04,4142
2004,4,0.013397185,0.019547892,NA
2004,5,0.149603203,0.302465954,258
2004,6,0.171359467,0.353311639,425
2004,7,0.19138131,0.563825094,894
2004,8,0.063457055,0.217742011,327
2004,9,0.059352349,0.14968894,NA
2004,10,0.009680989,0.031224498,13
2004,11,2.11E-05,5.37E-05,NA
2004,12,0,0,NA
2005,1,0,0,NA
2005,2,0,0,9
2005,3,2.92E-06,6.31E-06,13
2005,4,0.003493044,0.008440619,16
2005,5,0.208599888,0.316476618,NA
2005,6,0.414352737,0.745636216,NA
2005,7,0.566429187,1.012069856,NA
2005,8,0.248034595,0.410618586,NA
2005,9,0.104285731,0.293021922,NA
2005,10,0.003610537,0.022341458,NA
2005,11,1.34E-05,4.22E-05,NA
2005,12,0.002209709,0.00701239,NA
2006,1,7.21E-07,9.88E-06,NA
2006,2,0,0,NA
2006,3,0,0,2200
2006,4,7.34E-05,3.54E-04,NA
2006,5,0.004456128,0.028990586,NA
2006,6,0.211898044,0.304700839,NA
2006,7,0.136476916,0.352661146,NA
2006,8,0.475537182,0.617787634,NA
2006,9,0.533243291,0.581987094,NA
2006,10,0.125775077,0.140936723,NA
2006,11,7.76E-06,1.98E-05,NA
2006,12,0,0,NA
2007,1,0,0,NA
2007,2,0,0,NA
2007,3,7.52E-05,2.50E-04,1183
2007,4,0.060596528,0.03392718,NA
2007,5,0.437401197,0.349929886,NA
2007,6,0.658824522,0.696577657,NA
2007,7,0.841454553,1.030889098,NA
2007,8,0.531367142,0.54640278,NA
2007,9,0.539970426,0.422044755,NA
2007,10,0.077638697,0.165082453,NA
2007,11,0.104359249,0.221003717,NA
2007,12,0.004634663,0.019928712,952
2008,1,0,0,1497
2008,2,0,0,104
2008,3,2.99E-04,0.001030149,NA
2008,4,0.027767997,0.039882143,NA
2008,5,0.063689998,0.115963117,NA
2008,6,0.149816696,0.250707849,NA
2008,7,0.177746061,0.321868525,NA
2008,8,0.107792589,0.370924174,NA
2008,9,0.017104111,0.066233698,NA
2008,10,0.002428388,0.019599411,NA
2008,11,9.63E-06,2.88E-05,NA
2008,12,0,0,NA
2009,1,0,0,616
2009,2,0,0,NA
2009,3,0,0,1190
2009,4,0.003976697,0.014883636,2019
2009,5,0.031279355,0.039149865,NA
2009,6,0.272493932,0.261763817,NA
2009,7,0.674095234,0.759466729,NA
2009,8,0.829160144,0.993075243,NA
2009,9,0.457690915,0.586538255,NA
2009,10,0.024787825,0.093289268,NA
2009,11,0.075527792,0.196018944,13
2009,12,0.042507571,0.166902414,189
2010,1,1.36E-04,8.03E-04,NA
2010,2,9.73E-04,0.002803723,1344
2010,3,0.016206003,0.041029917,235
2010,4,0.077688605,0.192957735,NA
2010,5,0.297981196,0.814633165,NA
2010,6,0.068402377,0.247147961,NA
2010,7,0.169768721,0.402823735,NA
2010,8,0.1790859,0.397339507,NA
2010,9,0.140107279,0.284404846,NA
2010,10,0.003218957,0.01126289,NA
2010,11,0,0,NA
2010,12,0,0,2
2011,1,0,0,NA
2011,2,0,0,NA
2011,3,0,0,NA
2011,4,0.010196829,0.009784502,13
2011,5,0.074525352,0.097653663,NA
2011,6,0.335312082,0.289014578,NA
2011,7,0.596610229,0.637838819,NA
2011,8,0.869812453,1.194508779,NA
2011,9,0.761614841,0.668883458,NA
2011,10,0.212869985,0.299235962,NA
2011,11,4.80E-05,1.62E-04,NA
2011,12,0,0,1
2012,1,0,0,NA
2012,2,4.13E-08,5.41E-07,36
2012,3,4.81E-04,0.00141432,20
2012,4,0.185381688,0.371290531,4
2012,5,0.140302155,0.276896315,NA
2012,6,0.406691059,0.479677012,NA
2012,7,0.385601395,0.481943988,NA
2012,8,0.247541687,0.333601008,NA
2012,9,0.247203677,0.238397863,NA
2012,10,0.104087105,0.142029333,13
2012,11,0.105539274,0.176954316,NA
2012,12,0.222884149,0.68658144,NA
2013,1,0.171884706,0.477734935,NA
2013,2,0.015976097,0.055979088,10
2013,3,0.001661102,0.016989266,256
2013,4,2.23E-04,0.001177528,NA
2013,5,0.09819735,0.096728807,NA
2013,6,0.191336132,0.291683049,NA
2013,7,0.422877717,0.518290783,NA
2013,8,0.713120457,0.556816672,NA
2013,9,0.700418326,0.552747814,NA
2013,10,0.079734071,0.183278304,NA
2013,11,0.001932228,0.013183044,NA
2013,12,0.030092626,0.086644189,670
2014,1,0.017354691,0.044787969,NA
2014,2,0.001576483,0.005911369,NA
2014,3,0.001705073,0.001984998,NA
2014,4,0.026993703,0.045261003,NA
2014,5,0.060107117,0.113545471,NA
2014,6,0.271616457,0.45281687,NA
