Day,Pm,BW29,Oo,Gm,BW37,BW58,ice_conc,ice_thickness,Site
3/5/2014,0,0,0,0,0,0,0,0,EI
3/6/2014,0,0,0,0,0,0,0,0,EI
3/7/2014,0,0,0,0,0,0,0,0,EI
3/8/2014,0,0,0,0,1,0,0,0,EI
3/9/2014,0,1,0,0,1,0,0,0,EI
3/10/2014,0,0,0,0,1,0,0,0,EI
3/11/2014,0,0,0,0,0,0,0,0,EI
3/12/2014,0,0,0,0,1,0,0,0,EI
3/13/2014,0,0,0,0,0,0,0,0,EI
3/14/2014,0,1,0,0,0,0,0,0,EI
3/15/2014,0,1,0,0,0,0,0,0,EI
3/16/2014,0,0,0,0,0,0,0,0,EI
3/17/2014,0,0,0,0,1,0,0,0,EI
3/18/2014,0,0,0,0,0,0,0,0,EI
3/19/2014,0,0,0,0,1,1,0,0,EI
3/20/2014,0,0,0,0,0,0,0,0,EI
3/21/2014,0,0,0,0,1,0,0,0,EI
3/22/2014,0,0,0,0,1,0,0,0,EI
3/23/2014,0,0,0,0,0,0,0,0,EI
3/24/2014,0,0,1,0,0,0,0,0,EI
3/25/2014,0,1,0,0,0,0,0,0,EI
3/26/2014,0,0,0,0,0,0,0,0,EI
3/27/2014,0,1,0,0,0,0,0,0,EI
3/28/2014,0,0,0,0,0,0,0,0,EI
3/29/2014,0,1,0,0,1,0,0,0,EI
3/30/2014,0,1,0,0,0,0,0,0,EI
3/31/2014,0,0,0,0,0,0,0,0,EI
4/1/2014,0,0,0,0,0,0,0,0,EI
4/2/2014,0,0,0,0,0,0,0,0,EI
4/3/2014,0,1,0,0,0,0,0,0,EI
4/4/2014,0,0,0,0,0,0,0,0,EI
4/5/2014,0,0,0,0,0,0,0,0,EI
4/6/2014,0,0,0,0,0,0,0,0,EI
4/7/2014,0,0,0,0,0,0,0,0,EI
4/8/2014,0,1,0,0,0,0,0,0,EI
4/9/2014,0,0,0,0,0,0,0,0,EI
4/10/2014,0,1,0,0,0,0,0,0,EI
4/11/2014,0,0,0,0,0,0,0,0,EI
4/12/2014,0,0,0,0,0,0,0,0,EI
4/13/2014,1,0,0,0,0,0,0,0,EI
4/14/2014,0,0,0,0,0,0,0,0,EI
4/15/2014,0,0,0,1,0,0,0,0,EI
4/16/2014,0,0,0,0,0,0,0,0,EI
4/17/2014,0,0,0,1,0,0,0,0,EI
4/18/2014,0,0,0,0,0,0,0,0,EI
4/19/2014,0,1,0,0,1,0,0,0,EI
4/20/2014,0,1,0,1,0,0,0,0,EI
4/21/2014,0,1,0,0,0,0,0,0,EI
4/22/2014,0,1,0,0,0,0,0,0,EI
4/23/2014,1,1,0,0,0,0,0,0,EI
4/24/2014,1,1,0,0,1,0,0,0,EI
4/25/2014,1,0,0,0,0,0,0,0,EI
4/26/2014,1,0,0,0,0,0,0,0,EI
4/27/2014,1,0,0,0,0,0,0,0,EI
4/28/2014,1,1,0,0,0,0,0,0,EI
