date,Site,BW29,BW37,BW58,Gm,Pm,Oo,Bp,Bm,Mn,temperature_0,salinity_0,EKE_0,chla_0,productivity_0,o2_0,EKE_mad_0,SSH,mixed_layer,ice_conc,ice_thickness,FSLE
3/5/2014,EI,0,0,0,0,0,0,13.6100078,30,0,1.015615035,33.96500838,57.61385169,0.942713092,10.26473709,342.1904246,1.10246931,-1.643886054,29.1211991,0,0,-0.03621579
3/6/2014,EI,0,0,0,0,0,0,12.12624229,480,0,1.051578041,33.94026631,33.77996952,0.963058318,10.16714946,342.3924357,2.214834214,-1.648814793,26.24482946,0,0,-0.036185282
3/7/2014,EI,0,0,0,0,0,0,12.11445609,920,0,1.041820839,33.91857668,27.95963212,1.022791609,12.99218575,342.6620229,3.793276315,-1.664326911,27.31733697,0,0,-0.036637028
3/8/2014,EI,0,10,0,0,0,0,13.8530135,825,0,1.04004728,33.90096302,14.97808948,1.031175807,9.056641797,342.6073685,1.54536821,-1.669338494,26.82795102,0,0,-0.03598469
3/9/2014,EI,15,25,0,0,0,0,14.24288678,1335,5,1.025450711,33.903012,47.03176752,0.968968143,9.609051426,342.269043,9.863289124,-1.667317728,27.67156991,0,0,-0.035516366
3/10/2014,EI,0,5,0,0,0,0,18.49284752,285,10,1.037860407,33.90121359,14.87580998,0.929270734,8.630536636,342.166865,16.77730864,-1.674855795,24.97613143,0,0,-0.034734585
3/11/2014,EI,0,0,0,0,0,0,14.77127421,395,0,1.056919654,33.90690305,75.99262163,0.860153926,5.182767431,341.7507604,2.635304275,-1.661220562,24.11071363,0,0,-0.03505672
3/12/2014,EI,0,5,0,0,0,0,14.10750961,870,0,1.02628779,33.90689226,7.958020257,0.838737736,8.426150779,341.5009104,10.64613383,-1.658842301,23.68454438,0,0,-0.036154069
3/13/2014,EI,0,0,0,0,0,0,13.30409759,540,0,0.903702784,33.90316473,18.10378647,0.85749167,9.052095791,341.4771525,11.83614555,-1.669028945,27.21488215,0,0,-0.03774784
3/14/2014,EI,10,0,0,0,0,0,12.81839669,590,0,0.799282398,33.8944016,1.402432666,0.865762961,10.96935177,341.7984467,23.06931228,-1.675474886,26.8584696,0,0,-0.03816788
3/15/2014,EI,15,0,0,0,0,0,12.63169581,675,0,0.745353575,33.90016738,18.08313235,0.865767395,10.35659325,342.4767151,67.48079201,-1.666171099,27.26937938,0,0,-0.038492291
3/16/2014,EI,0,0,0,0,0,0,14.78811984,750,35,0.706052713,33.89946973,50.46324259,0.866781461,9.062618454,343.0778885,5.343310347,-1.650815932,25.66715758,0,0,-0.041694417
3/17/2014,EI,0,5,0,0,0,0,14.37751789,1095,0,0.692732691,33.88059183,110.1811604,0.851091611,6.953859488,343.374972,0.950933477,-1.648917244,21.62454489,0,0,-0.041014812
3/18/2014,EI,0,0,0,0,0,0,18.71441657,1135,250,0.716045343,33.86371961,65.20176138,0.838615904,7.995040794,343.6903203,10.24571218,-1.645592919,15.62765752,0,0,-0.040374642
3/19/2014,EI,0,30,20,0,0,0,19.6050616,1255,5,0.694307446,33.8572125,72.17559956,0.801748514,4.743511359,343.6384608,5.226955204,-1.636234629,17.5710327,0,0,-0.039282389
3/20/2014,EI,0,0,0,0,0,0,13.7848269,470,0,0.710871145,33.83622006,56.8554759,0.732504154,5.526515504,343.0384013,2.759375144,-1.642344868,17.39446137,0,0,-0.039491794
3/21/2014,EI,0,10,0,0,0,0,13.84724799,430,140,0.674128606,33.84441654,16.48425355,0.721132055,6.187728465,342.8847478,1.218056996,-1.673303718,20.37001607,0,0,-0.04219157
3/22/2014,EI,0,10,0,0,0,0,15.28173907,505,0,0.618269268,33.85486922,21.50740985,0.713842094,4.895533085,342.7301636,7.115035967,-1.6842119,24.62189862,0,0,-0.043310737
3/23/2014,EI,0,0,0,0,0,0,17.65492576,130,0,0.580637332,33.86253147,114.1536938,0.691856963,6.957389613,342.4315745,2.41519277,-1.693724956,27.76966493,0,0,-0.043674003
3/24/2014,EI,0,0,0,0,0,55,18.17134759,205,65,0.522863179,33.85848792,81.18925177,0.689080705,5.310801049,342.5284119,7.837980244,-1.706392319,27.53750636,0,0,-0.042178666
3/25/2014,EI,20,0,0,0,0,0,17.40407637,90,0,0.498232125,33.85369219,49.447223,0.695044344,7.003397644,342.864446,11.96644027,-1.722094094,27.84814122,0,0,-0.042436961
3/26/2014,EI,0,0,0,0,0,0,13.84365435,175,0,0.51020759,33.86379591,7.317794593,0.706154292,7.993428091,343.1497269,7.936338555,-1.712877511,29.50377048,0,0,-0.041162712
3/27/2014,EI,5,0,0,0,0,0,4.165467731,185,0,0.509663487,33.87119658,18.03946692,0.718568961,8.488185545,343.6450526,10.16746084,-1.696105402,32.70167435,0,0,-0.039315937
3/28/2014,EI,0,0,0,0,0,0,15.33112442,370,0,0.521377363,33.85884745,81.99980713,0.721162568,7.50952069,344.2325134,16.49130119,-1.68591222,30.42041552,0,0,-0.036550646
3/29/2014,EI,25,10,0,0,0,0,21.3848591,45,0,0.521706964,33.85317977,120.8263239,0.723036098,6.835912784,344.7425868,1.118893051,-1.677430251,28.32226814,0,0,-0.034517776
3/30/2014,EI,10,0,0,0,0,0,16.83268512,5,0,0.534341627,33.8460622,38.32154296,0.719203832,6.261188865,345.1300964,13.38599965,-1.682073421,22.48560289,0,0,-0.033311025
3/31/2014,EI,0,0,0,0,0,0,14.34429426,560,0,0.468154826,33.85412772,11.98881449,0.729789294,7.018781006,345.6514308,3.7753739,-1.681626546,28.0476015,0,0,-0.031668752
4/1/2014,EI,0,0,0,0,0,0,15.13941954,95,0,0.39069885,33.88159433,61.02703049,0.777399647,7.670786579,346.2065023,5.926916708,-1.700783448,34.6374199,0,0,-0.030981521
4/2/2014,EI,0,0,0,0,0,0,19.87348574,135,0,0.36290259,33.90254312,52.75763047,0.845108432,7.247050941,346.7747192,17.11285258,-1.716594218,38.46967304,0,0,-0.030706986
