Input file,Event Number,Species Code,Call,Start time,End time,Comments
Antarc_EIE_01,Abartlett,Pm,regular-click,2/4/2016 21:08:35,2/4/2016 21:08:35,
Antarc_EIE_01,Abartlett,Pm,regular-click,2/5/2016 14:08:36,2/5/2016 14:08:37,
Antarc_EIE_01,Abartlett,Pm,regular-click,2/6/2016 19:54:43,2/6/2016 19:54:43,
Antarc_EIE_01,Abartlett,Pm,regular-click,2/6/2016 23:47:46,2/6/2016 23:47:47,
Antarc_EIE_01,Abartlett,Pm,regular-click,2/7/2016 3:35:17,2/7/2016 3:43:40,
Antarc_EIE_01,Abartlett,Pm,regular-click,2/7/2016 4:00:38,2/7/2016 5:39:46,
Antarc_EIE_01,Abartlett,Pm,regular-click,2/9/2016 9:36:51,2/9/2016 9:36:51,
Antarc_EIE_01,Abartlett,Pm,regular-click,2/10/2016 5:18:05,2/10/2016 5:18:17,
Antarc_EIE_01,Abartlett,Pm,regular-click,2/13/2016 22:04:49,2/13/2016 22:04:49,
Antarc_EIE_01,Abartlett,Pm,regular-click,2/14/2016 18:56:56,2/14/2016 18:56:56,
Antarc_EIE_01,Abartlett,Pm,regular-click,2/15/2016 2:13:36,2/15/2016 2:13:41,
Antarc_EIE_01,jst_bw001,BW29,Clicks,2/15/2016 7:57:29,2/15/2016 7:58:44,
Antarc_EIE_01,jst_bw002,BW29,Clicks,2/15/2016 8:01:14,2/15/2016 8:02:29,
Antarc_EIE_01,jst_bw003,BW29,Clicks,2/15/2016 8:17:29,2/15/2016 8:18:44,
Antarc_EIE_01,jst_bw004,BW29,Clicks,2/15/2016 8:27:29,2/15/2016 8:28:44,
Antarc_EIE_01,Abartlett,Oo,Clicks,2/15/2016 10:47:59,2/15/2016 11:19:22,
Antarc_EIE_01,Abartlett,Oo,Clicks,2/15/2016 11:34:21,2/15/2016 11:34:23,
Antarc_EIE_01,Abartlett,Pm,regular-click,2/16/2016 8:52:02,2/16/2016 8:52:06,
Antarc_EIE_01,jst_bw005,BW29,Clicks,2/16/2016 15:43:44,2/16/2016 15:44:59,
Antarc_EIE_01,jst_bw006,BW29,Clicks,2/16/2016 15:49:59,2/16/2016 15:51:14,
Antarc_EIE_01,Abartlett,Pm,slow-click,2/16/2016 22:47:49,2/16/2016 22:47:58,
Antarc_EIE_01,Abartlett,Pm,regular-click,2/17/2016 2:25:35,2/17/2016 2:29:14,
Antarc_EIE_01,Abartlett,Pm,regular-click,2/17/2016 2:46:08,2/17/2016 3:35:52,
Antarc_EIE_01,Abartlett,Pm,regular-click,2/17/2016 3:59:20,2/17/2016 4:09:41,
Antarc_EIE_01,Abartlett,Pm,regular-click,2/18/2016 7:54:55,2/18/2016 7:54:55,
Antarc_EIE_01,Abartlett,Pm,regular-click,2/18/2016 10:28:19,2/18/2016 10:28:37,
Antarc_EIE_01,Abartlett,Pm,regular-click,2/18/2016 23:09:45,2/18/2016 23:09:45,
Antarc_EIE_01,Abartlett,Pm,regular-click,2/20/2016 13:18:32,2/20/2016 13:19:10,
Antarc_EIE_01,Metcheverry,Gm,Clicks,2/21/2016 15:41:14,2/21/2016 15:42:29,
Antarc_EIE_01,Abartlett,Pm,regular-click,2/23/2016 22:44:44,2/23/2016 22:44:44,
Antarc_EIE_01,Abartlett,Pm,regular-click,2/25/2016 12:13:26,2/25/2016 12:13:26,
Antarc_EIE_01,Abartlett,Pm,regular-click,2/25/2016 21:18:09,2/25/2016 21:18:09,
Antarc_EIE_01,jst_bw007,BW29,Clicks,2/26/2016 21:44:59,2/26/2016 21:46:14,
Antarc_EIE_01,jst_bw008,BW29,Clicks,2/26/2016 21:53:44,2/26/2016 21:54:59,
Antarc_EIE_01,jst_bw009,BW29,Clicks,2/26/2016 21:58:44,2/26/2016 21:59:59,
Antarc_EIE_01,jst_bw010,BW29,Clicks,2/26/2016 22:03:44,2/26/2016 22:12:29,
Antarc_EIE_01,Abartlett,Pm,regular-click,2/28/2016 1:23:25,2/28/2016 1:23:25,
Antarc_EIE_01,Abartlett,Pm,slow-click,2/28/2016 2:27:08,2/28/2016 2:56:56,
Antarc_EIE_01,Abartlett,Pm,slow-click,2/28/2016 22:17:19,2/28/2016 22:21:02,
Antarc_EIE_01,Abartlett,Pm,slow-click,2/28/2016 22:44:35,2/28/2016 22:47:51,
Antarc_EIE_01,Abartlett,Pm,regular-click,2/29/2016 19:12:13,2/29/2016 19:12:13,
Antarc_EIE_01,Abartlett,Pm,regular-click,2/29/2016 19:54:59,2/29/2016 19:54:59,
