"Day","Pm","BW29","Oo","Gm","BW37","BW58","Site"
2016-02-04,5,0,0,0,0,0,"CI"
2016-02-05,5,0,0,0,0,0,"CI"
2016-02-06,10,0,0,0,0,0,"CI"
2016-02-07,110,0,0,0,0,0,"CI"
2016-02-08,0,0,0,0,0,0,"CI"
2016-02-09,5,0,0,0,0,0,"CI"
2016-02-10,5,0,0,0,0,0,"CI"
2016-02-11,0,0,0,0,0,0,"CI"
2016-02-12,0,0,0,0,0,0,"CI"
2016-02-13,5,0,0,0,0,0,"CI"
2016-02-14,5,0,0,0,0,0,"CI"
2016-02-15,5,20,40,0,0,0,"CI"
2016-02-16,10,15,0,0,0,0,"CI"
2016-02-17,75,0,0,0,0,0,"CI"
2016-02-18,15,0,0,0,0,0,"CI"
2016-02-19,0,0,0,0,0,0,"CI"
2016-02-20,5,0,0,0,0,0,"CI"
2016-02-21,0,0,0,5,0,0,"CI"
2016-02-22,0,0,0,0,0,0,"CI"
2016-02-23,5,0,0,0,0,0,"CI"
2016-02-24,0,0,0,0,0,0,"CI"
2016-02-25,10,0,0,0,0,0,"CI"
2016-02-26,0,35,0,0,0,0,"CI"
2016-02-27,0,0,0,0,0,0,"CI"
2016-02-28,60,0,0,0,0,0,"CI"
2016-02-29,10,0,0,0,0,0,"CI"
2016-03-01,20,35,0,0,0,0,"CI"
2016-03-02,5,0,0,0,0,0,"CI"
2016-03-03,15,55,0,0,25,0,"CI"
2016-03-04,70,60,0,0,0,0,"CI"
2016-03-05,155,20,0,5,0,0,"CI"
2016-03-06,0,20,0,0,0,0,"CI"
2016-03-07,0,0,0,0,0,0,"CI"
2016-03-08,0,0,0,0,0,0,"CI"
2016-03-09,10,0,0,0,0,0,"CI"
2016-03-10,0,0,0,0,0,0,"CI"
2016-03-11,5,0,0,0,0,0,"CI"
2016-03-12,5,0,0,0,10,0,"CI"
2016-03-13,0,5,0,0,0,0,"CI"
2016-03-14,5,0,0,0,0,0,"CI"
2016-03-15,5,0,0,0,0,0,"CI"
2016-03-16,0,10,0,0,0,0,"CI"
2016-03-17,10,0,0,0,0,0,"CI"
2016-03-18,35,0,0,0,0,0,"CI"
2016-03-19,345,0,0,0,0,0,"CI"
2016-03-20,20,20,0,0,0,0,"CI"
2016-03-21,0,5,0,0,0,0,"CI"
2016-03-22,5,0,0,0,0,0,"CI"
2016-03-23,10,55,0,0,0,0,"CI"
2016-03-24,10,10,0,0,0,0,"CI"
2016-03-25,0,10,0,0,0,0,"CI"
2016-03-26,5,0,0,0,0,0,"CI"
2016-03-27,25,0,0,0,0,0,"CI"
2016-03-28,25,0,0,0,0,0,"CI"
2016-03-29,15,0,0,0,0,0,"CI"
2016-03-30,25,65,0,0,0,0,"CI"
2016-03-31,10,0,0,0,0,0,"CI"
2016-04-01,45,0,0,0,0,0,"CI"
2016-04-02,25,45,0,0,0,0,"CI"
2016-04-03,15,0,0,0,0,0,"CI"
2016-04-04,140,0,0,0,0,0,"CI"
2016-04-05,295,0,0,0,0,0,"CI"
2016-04-06,35,0,0,0,0,0,"CI"
2016-04-07,5,0,0,0,0,0,"CI"
2016-04-08,15,0,0,0,10,0,"CI"
2016-04-09,25,0,0,0,0,0,"CI"
2016-04-10,155,0,0,0,0,0,"CI"
2016-04-11,85,0,0,0,0,0,"CI"
2016-04-12,40,35,0,0,10,0,"CI"
2016-04-13,65,0,0,0,25,0,"CI"
2016-04-14,35,0,0,0,10,0,"CI"
2016-04-15,15,10,0,0,0,0,"CI"
2016-04-16,10,0,0,0,0,0,"CI"
2016-04-17,20,0,0,0,0,0,"CI"
2016-04-18,40,0,0,0,0,0,"CI"
2016-04-19,10,0,0,0,0,0,"CI"
2016-04-20,10,0,0,0,0,0,"CI"
2016-04-21,5,0,0,0,0,0,"CI"
2016-04-22,15,0,0,0,0,0,"CI"
2016-04-23,30,0,0,0,0,0,"CI"
2016-04-24,10,0,0,0,0,0,"CI"
2016-04-25,25,0,0,0,0,0,"CI"
2016-04-26,10,0,0,0,0,0,"CI"
2016-04-27,40,0,0,0,0,0,"CI"
2016-04-28,25,0,0,0,0,0,"CI"
2016-04-29,25,0,0,0,0,0,"CI"
2016-04-30,35,0,0,0,0,0,"CI"
2016-05-01,10,0,0,0,0,0,"CI"
2016-05-02,265,0,0,0,0,0,"CI"
2016-05-03,0,0,0,0,0,0,"CI"
2016-05-04,35,0,30,0,0,0,"CI"
2016-05-05,25,0,0,0,0,0,"CI"
2016-05-06,10,0,100,0,0,0,"CI"
2016-05-07,10,0,120,0,0,0,"CI"
2016-05-08,30,0,0,0,0,0,"CI"
2016-05-09,10,0,0,0,0,0,"CI"
2016-05-10,25,0,0,0,0,0,"CI"
2016-05-11,5,0,0,0,0,0,"CI"
